,AIR.PA,SAF.PA,SU.PA,SIE.DE,ENR.DE,ABBN.SW,ALO.PA,MT.AS,RNO.PA,VOW3.DE,PRY.MI,SAND.ST
2025-05-08,155.5066,244.6603,208.3879,208.7618,73.0286,44.3930,21.9500,25.8926,43.3542,87.1570,53.0843,201.7977
2025-05-09,155.5655,242.7046,207.7592,209.5941,74.4426,44.4128,22.1100,25.9998,44.2929,87.7902,52.3697,202.8805
2025-05-12,155.7029,244.7581,213.8043,217.1338,75.2989,45.9500,22.4100,27.2379,44.5066,88.9600,53.7593,214.3978
2025-05-13,158.1772,246.0293,216.6104,220.4630,74.7214,46.4723,22.6800,27.4621,45.6311,92.3020,55.5261,214.3978
2025-05-14,156.6062,246.4205,216.7581,219.3859,73.5464,46.6004,18.7600,27.3549,45.3523,90.7189,55.8835,212.4290
2025-05-15,156.3313,248.9629,217.2504,217.2317,75.6972,46.9256,19.5200,27.2712,45.3245,91.2906,54.8115,214.2009
2025-05-16,157.3328,250.4297,215.7735,215.3713,75.1396,46.9059,19.2050,26.9365,45.5940,90.4551,54.2358,212.5274
2025-05-19,158.9627,253.3633,215.2812,217.1828,77.8082,46.8369,18.7500,27.1235,45.3338,91.4019,54.7916,212.1337
2025-05-20,158.9038,255.4168,218.1365,217.6234,78.4056,47.1424,19.0050,27.1925,45.8356,92.0206,55.6254,211.2478
2025-05-21,159.1591,253.8522,216.2658,216.3994,78.8239,46.8960,18.9700,27.2811,46.0401,91.5706,54.8115,208.1962
2025-05-22,158.3343,254.8300,217.6935,212.5806,81.3332,46.6398,18.7050,26.2473,44.7483,90.3707,54.0571,203.9633
2025-05-23,154.4462,249.1585,213.8043,207.8805,81.3531,46.0781,18.4750,26.0406,44.2000,87.6521,53.8983,201.3055
2025-05-26,157.3132,254.2433,217.6935,214.0983,82.8865,46.6299,19.1300,27.1334,44.6832,89.8270,54.8710,205.2430
2025-05-27,159.2573,256.3200,219.5150,216.3994,85.0374,47.1424,19.6850,27.0743,43.7446,89.4707,57.3724,205.8337
2025-05-28,159.3947,256.6167,218.6288,212.9723,85.3560,46.6102,19.6450,26.7593,42.7780,90.5019,57.8885,207.5071
2025-05-29,159.6107,256.7155,218.9734,208.1743,84.3603,46.6102,20.3400,26.4442,42.6851,89.8270,56.9952,207.5071
2025-05-30,159.1395,258.4955,217.9396,207.3909,85.1369,45.8613,19.9050,26.3064,42.1740,89.3958,56.1813,206.1290
2025-06-02,159.6304,258.8911,216.3150,209.2024,86.7899,45.4474,19.4600,26.2670,40.6127,87.6521,56.1813,204.4555
2025-06-03,163.4203,262.0555,218.2842,209.5941,88.5424,45.9993,19.4350,26.0209,41.1796,88.2146,57.1540,204.9477
2025-06-04,167.0925,262.5500,221.5826,213.5108,88.1441,46.5314,19.5400,26.3261,40.6405,87.5583,58.4047,209.6727
2025-06-05,162.4974,261.5611,222.6164,214.6859,88.0645,46.5511,19.0550,26.4245,40.1015,87.4083,57.8488,210.4603
2025-06-06,162.3403,262.7478,224.1425,214.2452,88.3034,46.5807,18.9000,26.1981,39.9621,85.9084,58.1466,210.4603
2025-06-09,162.4974,262.7478,221.8288,214.7348,85.7742,46.5807,18.6700,26.2178,40.3803,85.8334,57.6503,211.0509
2025-06-10,160.9461,257.4077,224.4379,214.4900,82.6675,46.9945,18.8850,26.2473,41.3283,86.8271,57.7694,211.8384
2025-06-11,160.6515,257.0122,219.8103,215.1265,85.1967,46.6102,19.0450,26.4836,41.1145,85.9272,57.9282,210.9524
2025-06-12,159.8464,255.2322,217.5950,212.8254,85.3361,46.9945,19.1300,26.0603,40.6591,85.1959,56.8562,208.5899
2025-06-13,158.6485,250.3867,217.0535,210.4754,84.4598,46.9256,18.8500,25.6763,39.9993,83.2835,55.3872,207.2118
2025-06-16,159.0805,256.2211,218.5304,211.5035,88.3233,48.0194,18.9050,26.3851,36.5235,83.7148,57.2136,210.4603
2025-06-17,157.8238,256.9133,218.4811,209.5451,88.2636,46.9945,18.6350,26.1784,36.2354,82.9273,56.1217,209.6727
2025-06-18,160.0231,259.0889,214.1982,206.6566,87.4471,46.7285,18.6600,26.4541,35.9287,82.2148,55.9232,207.1133
2025-06-19,158.8252,255.0344,211.2936,203.5721,86.1526,46.3146,18.2850,25.4499,35.7986,81.1274,55.2879,206.2274
2025-06-20,164.4611,257.3089,210.7521,204.9430,87.0488,46.3048,18.4300,25.7747,35.8823,81.8399,55.8636,206.2274
2025-06-23,163.9702,256.1222,209.5706,204.4534,86.9492,45.4474,18.4000,25.7452,35.6964,81.5961,55.1490,205.4399
2025-06-24,167.5049,260.1767,215.0843,210.0347,90.7331,45.6347,19.8100,26.2473,36.5700,84.5022,57.3327,208.2946
2025-06-25,168.4278,260.7700,212.1797,209.1535,92.0076,45.1912,19.7200,26.1489,36.4956,83.6773,56.8562,209.3774
2025-06-26,172.9051,264.3300,212.7213,210.3775,92.5055,45.1617,19.5600,26.5919,36.2633,82.4211,57.4121,211.1493
